"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 21","14,03","13,67","14,60","13,11","205,87M","3,85%"
"Ago 21","13,51","12,05","13,51","11,30","202,48M","13,15%"
"Jul 21","11,94","12,10","12,46","11,71","142,79M","-1,57%"
"Jun 21","12,13","13,75","14,03","12,02","173,46M","-10,68%"
"Mai 21","13,58","12,19","13,89","11,47","183,07M","14,46%"
"Abr 21","11,86","11,19","12,20","10,64","231,25M","-8,95%"
"Mar 21","13,03","12,07","13,27","11,09","234,24M","8,95%"
"Fev 21","11,96","13,91","14,63","11,77","176,32M","-12,70%"
"Jan 21","13,70","14,68","15,42","13,34","206,62M","-4,02%"
"Dez 20","14,27","12,48","14,38","12,25","187,44M","15,28%"
"Nov 20","12,38","10,20","12,45","10,05","221,54M","23,22%"
"Out 20","10,05","9,90","10,93","9,76","202,70M","1,49%"
"Set 20","9,90","10,36","11,20","9,75","239,98M","-3,36%"
"Ago 20","10,25","11,06","11,28","9,75","239,00M","-6,62%"
"Jul 20","10,97","10,19","11,58","10,04","209,59M","8,89%"
"Jun 20","10,08","9,72","11,18","9,55","248,32M","2,04%"
"Mai 20","9,87","8,38","10,42","6,93","329,07M","13,45%"
"Abr 20","8,70","8,06","9,53","7,19","300,42M","6,85%"
"Mar 20","8,15","12,65","13,79","6,89","405,98M","-36,17%"
"Fev 20","12,76","13,74","14,82","12,01","161,14M","-6,62%"
"Jan 20","13,67","12,64","14,44","12,29","184,19M","8,41%"
"Dez 19","12,61","11,58","12,69","11,20","146,76M","8,93%"
"Nov 19","11,58","12,12","12,15","10,82","137,93M","-4,40%"
"Out 19","12,11","12,70","12,90","11,59","193,64M","-4,75%"
"Set 19","12,71","13,04","13,35","12,10","206,68M","-2,91%"
"Ago 19","13,09","12,60","13,68","12,11","253,32M","4,38%"
"Jul 19","12,54","13,30","13,83","12,26","170,87M","-4,78%"
"Jun 19","13,17","13,13","13,96","12,48","197,00M","0,61%"
"Mai 19","13,09","12,50","13,26","11,03","243,68M","3,36%"
"Abr 19","12,67","11,94","12,71","11,60","215,60M","6,04%"
"Mar 19","11,94","12,45","12,87","11,21","185,08M","-3,47%"
"Fev 19","12,37","11,86","12,87","11,05","253,50M","3,97%"
"Jan 19","11,90","11,90","12,55","11,19","309,63M","-0,07%"
"Dez 18","11,91","10,89","11,91","10,24","218,21M","10,23%"
"Nov 18","10,80","9,44","10,95","9,22","286,60M","15,23%"
"Out 18","9,38","6,12","10,59","5,93","642,81M","54,05%"
"Set 18","6,09","6,36","6,45","5,65","198,09M","-4,02%"
"Ago 18","6,34","7,00","7,29","6,18","253,95M","-9,36%"
"Jul 18","7,00","6,15","7,20","6,11","142,47M","12,74%"
"Jun 18","6,21","6,55","6,65","5,49","218,22M","-4,82%"
"Mai 18","6,52","6,80","7,11","6,17","267,38M","-3,64%"
"Abr 18","6,77","6,85","6,91","6,34","173,20M","-1,17%"
"Mar 18","6,85","6,61","7,01","6,32","229,33M","4,26%"
"Fev 18","6,57","5,98","6,82","5,62","220,00M","9,47%"
"Jan 18","6,00","5,50","6,21","5,17","262,11M","9,17%"
"Dez 17","5,49","5,32","5,62","5,05","165,93M","4,09%"
"Nov 17","5,28","6,16","6,25","5,16","246,76M","-14,62%"
"Out 17","6,18","6,16","6,64","6,13","178,60M","0,00%"
"Set 17","6,19","6,55","7,18","5,99","197,08M","-4,77%"
"Ago 17","6,50","6,61","7,05","6,05","180,52M","-1,64%"
"Jul 17","6,61","6,28","7,09","6,24","120,46M","5,45%"
"Jun 17","6,26","5,93","6,54","5,69","185,78M","5,76%"
"Mai 17","5,92","6,75","7,46","3,99","211,07M","-11,62%"
"Abr 17","6,70","7,91","7,91","6,42","154,83M","-13,95%"
"Mar 17","7,79","7,89","9,09","6,80","208,08M","-3,46%"
"Fev 17","8,07","6,82","8,86","6,51","155,43M","16,96%"
"Jan 17","6,90","5,80","7,00","5,59","144,32M","18,55%"
"Dez 16","5,82","5,65","5,84","5,11","112,34M","1,75%"
"Nov 16","5,72","7,07","7,09","5,34","138,85M","-18,97%"
"Out 16","7,06","6,16","7,13","6,15","152,21M","13,64%"
"Set 16","6,21","6,48","7,08","5,91","133,29M","-1,94%"
"Ago 16","6,33","6,60","7,22","6,25","172,31M","-3,74%"
"Jul 16","6,58","5,31","6,70","5,13","218,13M","24,86%"
"Jun 16","5,27","4,14","5,27","3,78","175,19M","29,31%"
"Mai 16","4,08","4,81","5,02","3,74","159,23M","-13,45%"
"Abr 16","4,71","5,45","5,68","4,51","167,53M","-15,33%"
"Mar 16","5,56","4,10","5,98","4,07","202,28M","37,82%"
"Fev 16","4,04","4,02","4,61","3,30","168,23M","-0,68%"
"Jan 16","4,06","4,04","4,14","2,82","113,28M","-1,02%"
"Dez 15","4,11","4,44","4,56","3,86","105,51M","-7,12%"
"Nov 15","4,42","4,92","5,34","4,41","93,95M","-7,82%"
"Out 15","4,79","4,59","5,40","4,53","156,36M","2,43%"
"Set 15","4,68","4,96","5,14","4,34","148,52M","-7,05%"
"Ago 15","5,04","6,32","6,62","4,96","93,31M","-20,34%"
"Jul 15","6,32","7,94","8,02","5,96","95,11M","-20,40%"
"Jun 15","7,94","9,44","9,86","7,70","103,52M","-16,36%"
"Mai 15","9,50","9,50","10,77","9,36","87,39M","0,57%"
"Abr 15","9,44","8,42","9,84","8,36","68,90M","13,49%"
"Mar 15","8,32","8,47","8,68","7,40","83,04M","-1,23%"
"Fev 15","8,42","7,79","8,53","7,24","56,13M","8,98%"
"Jan 15","7,73","8,55","8,57","7,11","88,99M","-9,36%"
"Dez 14","8,53","8,89","8,97","7,72","93,90M","-5,36%"
"Nov 14","9,01","8,41","9,22","7,75","88,41M","5,52%"
"Out 14","8,54","8,81","10,39","7,69","160,06M","-5,07%"
"Set 14","8,99","11,44","11,57","8,60","121,84M","-21,76%"
"Ago 14","11,50","11,19","11,98","11,02","78,58M","3,74%"
"Jul 14","11,08","9,75","11,97","9,42","73,27M","14,44%"
"Jun 14","9,68","8,66","10,30","8,59","57,91M","12,20%"
"Mai 14","8,63","8,86","9,49","8,63","106,21M","-3,22%"
"Abr 14","8,92","8,06","8,92","7,75","114,13M","11,41%"
"Mar 14","8,01","7,05","8,24","6,62","133,65M","13,55%"
"Fev 14","7,05","7,29","7,29","6,51","107,73M","-3,59%"
"Jan 14","7,31","7,35","7,50","6,91","106,23M","-0,57%"
"Dez 13","7,35","7,65","7,72","7,13","99,44M","-3,87%"
"Nov 13","7,65","7,77","7,81","7,25","72,03M","-1,51%"
"Out 13","7,77","7,57","7,94","7,42","73,64M","3,59%"
"Set 13","7,50","7,37","7,60","6,98","109,99M","3,44%"
"Ago 13","7,25","8,17","8,29","7,07","93,26M","-10,83%"
"Jul 13","8,13","7,74","8,55","7,33","88,43M","4,77%"
"Jun 13","7,76","8,56","8,84","7,17","119,86M","-8,04%"
"Mai 13","8,44","8,46","9,14","8,17","116,24M","0,45%"
"Abr 13","8,40","7,71","8,43","7,48","142,52M","8,34%"
"Mar 13","7,75","7,62","8,53","7,29","140,61M","0,81%"
"Fev 13","7,69","7,17","7,93","7,09","93,48M","8,47%"
"Jan 13","7,09","7,47","7,80","6,74","138,23M","-4,42%"
"Dez 12","7,42","7,37","7,67","6,67","129,19M","2,68%"
"Nov 12","7,22","6,85","7,27","6,30","130,35M","5,64%"
"Out 12","6,84","6,91","7,63","6,46","135,50M","-1,14%"
"Set 12","6,92","9,69","10,25","6,83","182,94M","-29,06%"
"Ago 12","9,75","11,03","11,37","9,52","60,45M","-11,56%"
"Jul 12","11,03","10,54","11,33","10,48","45,47M","4,40%"
"Jun 12","10,56","9,85","10,86","9,61","47,10M","6,68%"
"Mai 12","9,90","10,30","10,87","9,40","69,75M","-6,88%"
"Abr 12","10,63","9,42","10,67","9,36","57,90M","13,87%"
"Mar 12","9,34","8,47","9,73","8,37","66,35M","10,77%"
"Fev 12","8,43","7,61","8,54","7,45","72,15M","11,31%"
"Jan 12","7,57","7,07","7,57","6,80","58,11M","6,31%"
"Dez 11","7,12","6,39","7,18","6,00","61,61M","11,74%"
"Nov 11","6,38","5,75","6,38","5,69","54,71M","8,08%"
"Out 11","5,90","5,64","5,92","5,23","84,59M","3,50%"
"Set 11","5,70","6,13","6,15","5,60","67,81M","-6,00%"
"Ago 11","6,06","6,11","6,20","5,43","77,89M","-0,51%"
"Jul 11","6,09","6,48","6,60","6,02","52,64M","-6,38%"
