"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 21","18,00","20,41","20,59","17,71","157,94M","-10,98%"
"Ago 21","20,22","21,15","21,49","17,90","178,86M","-3,02%"
"Jul 21","20,85","23,45","23,91","20,71","111,11M","-10,67%"
"Jun 21","23,34","24,10","26,54","22,18","148,00M","-2,34%"
"Mai 21","23,90","23,63","24,49","21,57","134,31M","1,57%"
"Abr 21","23,53","23,68","25,11","23,10","93,29M","-4,54%"
"Mar 21","24,65","25,01","25,66","21,83","187,05M","-0,60%"
"Fev 21","24,80","26,00","28,75","24,43","107,63M","-3,24%"
"Jan 21","25,63","29,49","30,22","25,16","105,25M","-13,06%"
"Dez 20","29,48","26,36","30,33","25,86","128,14M","14,58%"
"Nov 20","25,73","22,09","27,04","21,32","136,37M","18,74%"
"Out 20","21,67","22,15","26,22","21,36","150,33M","-1,94%"
"Set 20","22,10","23,17","23,81","20,93","169,18M","-3,61%"
"Ago 20","22,92","26,29","26,29","21,70","157,83M","-12,07%"
"Jul 20","26,07","22,30","26,68","21,99","183,33M","21,18%"
"Jun 20","21,51","15,96","22,55","15,79","194,74M","34,81%"
"Mai 20","15,96","14,41","16,99","11,36","200,90M","6,54%"
"Abr 20","14,98","12,39","16,12","11,24","210,21M","12,60%"
"Mar 20","13,30","27,77","30,35","10,55","200,51M","-52,63%"
"Fev 20","28,09","30,38","32,11","26,01","79,62M","-6,19%"
"Jan 20","29,94","28,06","32,39","28,00","98,18M","7,11%"
"Dez 19","27,95","24,25","28,61","24,04","73,92M","14,74%"
"Nov 19","24,36","24,94","26,11","23,28","66,12M","-0,33%"
"Out 19","24,45","21,92","24,75","20,91","73,80M","11,98%"
"Set 19","21,83","22,66","23,74","19,32","115,83M","-4,53%"
"Ago 19","22,87","22,45","24,48","20,72","102,54M","3,24%"
"Jul 19","22,15","18,35","22,59","18,07","78,21M","21,27%"
"Jun 19","18,26","15,44","18,29","15,19","64,62M","19,27%"
"Mai 19","15,31","15,43","15,51","13,40","66,79M","-1,91%"
"Abr 19","15,61","14,40","15,61","13,54","55,73M","9,28%"
"Mar 19","14,29","15,10","16,05","13,34","59,47M","-4,85%"
"Fev 19","15,01","14,88","15,43","14,00","55,46M","0,53%"
"Jan 19","14,94","13,79","15,34","13,43","71,53M","9,95%"
"Dez 18","13,58","12,11","13,70","11,74","66,10M","13,00%"
"Nov 18","12,02","12,34","12,46","10,74","64,48M","-2,47%"
"Out 18","12,32","9,12","12,53","8,86","102,27M","35,94%"
"Set 18","9,07","9,10","9,41","8,45","46,11M","-1,74%"
"Ago 18","9,23","9,87","10,52","8,91","48,11M","-5,69%"
"Jul 18","9,78","9,21","10,70","9,00","41,41M","5,36%"
"Jun 18","9,29","9,93","10,30","8,27","74,37M","-5,90%"
"Mai 18","9,87","11,29","11,45","9,65","55,42M","-12,51%"
"Abr 18","11,28","12,33","12,74","10,71","49,65M","-9,09%"
"Mar 18","12,41","12,46","12,75","11,91","42,62M","-0,33%"
"Fev 18","12,45","12,19","12,94","11,59","39,64M","2,40%"
"Jan 18","12,15","10,77","12,34","10,72","57,52M","13,31%"
"Dez 17","10,73","9,87","10,91","9,70","44,70M","8,54%"
"Nov 17","9,88","10,55","10,87","9,55","45,18M","-4,84%"
"Out 17","10,39","11,25","11,85","10,39","38,39M","-7,25%"
"Set 17","11,20","10,71","12,12","10,44","47,20M","4,70%"
"Ago 17","10,69","10,02","10,80","9,53","51,37M","7,68%"
"Jul 17","9,93","8,89","10,20","8,59","35,63M","11,68%"
"Jun 17","8,89","8,67","9,04","8,06","34,57M","2,53%"
"Mai 17","8,67","10,56","11,15","8,18","48,09M","-18,43%"
"Abr 17","10,63","10,62","10,90","10,35","27,40M","-0,30%"
"Mar 17","10,67","10,43","11,04","9,89","43,03M","1,92%"
"Fev 17","10,47","10,47","11,68","10,22","42,26M","0,31%"
"Jan 17","10,43","8,18","10,79","8,12","56,64M","26,10%"
"Dez 16","8,27","7,40","8,41","7,07","50,57M","10,08%"
"Nov 16","7,52","8,67","8,89","6,92","74,28M","-13,21%"
"Out 16","8,66","8,34","8,97","8,19","45,46M","5,08%"
