"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 21","10,39","10,78","10,93","9,85","959,37M","-3,53%"
"Ago 21","10,77","10,56","10,90","10,27","650,53M","3,86%"
"Jul 21","10,37","10,35","10,81","10,13","505,16M","0,19%"
"Jun 21","10,35","10,11","11,44","10,10","818,86M","2,88%"
"Mai 21","10,06","9,38","10,17","9,14","646,05M","8,06%"
"Abr 21","9,31","9,54","9,65","9,25","559,07M","-2,31%"
"Mar 21","9,53","9,29","9,77","8,57","763,54M","4,27%"
"Fev 21","9,14","9,91","10,12","8,92","713,09M","-6,16%"
"Jan 21","9,74","10,85","11,32","9,59","576,67M","-9,40%"
"Dez 20","10,75","9,76","10,94","9,72","499,98M","12,10%"
"Nov 20","9,59","8,33","10,04","8,26","876,74M","16,38%"
"Out 20","8,24","8,02","9,16","7,94","660,24M","3,26%"
"Set 20","7,98","8,65","9,09","7,97","576,39M","-6,45%"
"Ago 20","8,53","9,69","9,84","8,53","627,87M","-11,42%"
"Jul 20","9,63","8,73","10,07","8,70","679,34M","11,20%"
"Jun 20","8,66","7,98","9,56","7,91","790,37M","8,52%"
"Mai 20","7,98","7,84","8,49","7,06","767,13M","-1,60%"
"Abr 20","8,11","7,66","8,90","7,12","619,08M","2,66%"
"Mar 20","7,90","10,85","11,16","6,70","1,01B","-26,85%"
"Fev 20","10,80","11,19","11,74","10,52","526,25M","-3,40%"
"Jan 20","11,18","12,29","12,50","11,06","427,43M","-8,73%"
"Dez 19","12,25","11,56","12,39","11,52","355,80M","6,24%"
"Nov 19","11,53","11,95","12,38","11,29","351,67M","-3,19%"
"Out 19","11,91","11,47","12,15","10,52","407,34M","4,02%"
"Set 19","11,45","10,66","11,68","10,34","441,44M","7,41%"
"Ago 19","10,66","10,60","11,11","10,12","557,23M","1,23%"
"Jul 19","10,53","10,98","11,39","10,49","376,27M","-3,22%"
"Jun 19","10,88","10,49","11,03","9,99","521,16M","4,21%"
"Mai 19","10,44","10,00","10,49","9,29","500,67M","3,98%"
"Abr 19","10,04","10,20","10,24","9,53","388,63M","-0,59%"
"Mar 19","10,10","10,45","10,99","9,58","474,85M","-2,98%"
"Fev 19","10,41","10,72","10,96","10,05","753,01M","-2,89%"
"Jan 19","10,72","9,62","10,89","9,59","631,53M","11,78%"
"Dez 18","9,59","9,94","10,00","9,11","417,09M","-1,94%"
"Nov 18","9,78","8,94","10,01","8,87","390,62M","9,76%"
"Out 18","8,91","8,01","9,10","7,86","683,41M","11,37%"
"Set 18","8,00","7,51","8,00","7,31","413,14M","5,40%"
"Ago 18","7,59","8,27","8,74","7,39","497,17M","-7,89%"
"Jul 18","8,24","7,25","8,74","7,22","363,14M","13,50%"
"Jun 18","7,26","8,31","8,45","6,73","605,23M","-9,93%"
"Mai 18","8,06","9,71","9,71","7,95","550,30M","-17,50%"
"Abr 18","9,77","9,91","10,02","9,26","269,02M","-1,31%"
"Mar 18","9,90","9,46","10,05","9,40","317,26M","5,21%"
"Fev 18","9,41","8,97","9,85","8,41","473,84M","4,91%"
"Jan 18","8,97","7,36","9,15","7,34","399,87M","22,54%"
"Dez 17","7,32","6,86","7,41","6,83","332,55M","5,93%"
"Nov 17","6,91","7,08","7,27","6,83","354,93M","-0,86%"
"Out 17","6,97","7,33","7,70","6,97","366,93M","-5,04%"
"Set 17","7,34","6,84","7,54","6,81","448,04M","8,26%"
"Ago 17","6,78","6,17","6,92","6,17","463,76M","11,15%"
"Jul 17","6,10","5,96","6,15","5,88","355,14M","2,69%"
"Jun 17","5,94","5,92","5,99","5,71","308,80M","0,85%"
"Mai 17","5,89","6,53","6,85","5,61","508,53M","-9,52%"
"Abr 17","6,51","6,29","6,51","6,12","308,74M","4,16%"
"Mar 17","6,25","6,68","6,71","6,13","395,53M","-5,30%"
"Fev 17","6,60","5,99","6,91","5,82","351,56M","10,74%"
