"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Set 21","1,69","1,82","1,82","1,59","15,68M","-6,11%"
"Ago 21","1,80","1,89","2,02","1,68","26,55M","-4,26%"
"Jul 21","1,88","2,20","2,41","1,83","40,68M","-14,93%"
"Jun 21","2,21","2,26","2,35","2,18","28,89M","-2,21%"
"Mai 21","2,26","2,40","2,45","2,20","35,62M","-5,04%"
"Abr 21","2,38","2,68","2,85","2,38","60,39M","-11,19%"
"Mar 21","2,68","2,31","2,80","2,06","128,47M","16,52%"
"Fev 21","2,30","2,70","2,92","2,26","67,08M","-13,53%"
"Jan 21","2,66","2,82","3,14","2,45","126,56M","-5,67%"
"Dez 20","2,82","3,06","3,74","2,72","227,24M","-6,62%"
"Nov 20","3,02","2,04","3,12","1,98","195,19M","51,00%"
"Out 20","2,00","2,42","2,53","1,79","153,35M","-17,36%"
"Set 20","2,42","2,40","3,47","2,33","351,25M","1,68%"
"Ago 20","2,38","2,95","2,95","2,06","295,29M","-20,13%"
"Jul 20","2,98","1,50","4,08","1,44","333,95M","98,67%"
"Jun 20","1,50","1,10","1,59","1,10","84,37M","36,36%"
"Mai 20","1,10","1,00","1,19","0,96","47,84M","10,00%"
"Abr 20","1,00","0,92","1,21","0,86","49,45M","7,53%"
"Mar 20","0,93","1,33","1,44","0,73","68,50M","-29,55%"
"Fev 20","1,32","1,36","1,49","1,29","45,01M","-2,22%"
"Jan 20","1,35","1,24","1,69","1,22","77,17M","9,76%"
"Dez 19","1,23","1,20","1,30","1,16","24,77M","-1,60%"
"Nov 19","1,25","1,32","1,40","1,25","24,04M","-4,58%"
"Out 19","1,31","1,44","1,50","1,30","33,72M","-8,39%"
"Set 19","1,43","1,67","1,72","1,43","86,70M","-12,80%"
"Ago 19","1,64","1,73","1,76","1,04","130,70M","-4,65%"
"Jul 19","1,72","1,67","1,88","1,63","65,31M","4,24%"
"Jun 19","1,65","1,60","1,71","1,58","37,16M","3,12%"
"Mai 19","1,60","1,67","1,78","1,44","79,73M","-4,76%"
"Abr 19","1,68","1,52","1,76","1,43","72,62M","11,26%"
"Mar 19","1,51","1,83","1,92","1,51","85,36M","-16,11%"
"Fev 19","1,80","1,36","1,84","1,35","107,30M","34,33%"
"Jan 19","1,34","1,28","1,56","1,26","71,95M","6,35%"
"Dez 18","1,26","1,49","1,52","1,25","79,87M","-13,70%"
"Nov 18","1,46","1,77","2,02","1,44","90,95M","-16,08%"
"Out 18","1,74","1,46","1,89","1,42","44,37M","19,90%"
